Ano;Compra;Gerenciadora;Participante;Cadastro;Início Adesão;Fim Adesão;Início RP;Fim RP;Tipo;Situação;Bem;Grupo;Classe;Item;Marca;Modelo;Total;Restante;Percentual;Preço Referencial;Preço Final;Qtd.CompraAta
2026;67394;FOB    ;FOB    ;15/05/2026 13:34; ; ;26/05/2026 00:00;26/05/2027 00:00;Setorizada;Vigente;6192890;EQUIPAMENTOS E ARTIGOS DE USO MEDICO, O.;MATERIAIS DE USO TECNICO HOSPITALAR COM.;LUVA CIRURGICA NUMERACAO 6,5 PUNHO DE 4 A 6 CM;MEDIX;MEDIX;2.000,00;0,00;57,14;3,290;1,290;5;
2026;67394;FOB    ;FOB    ;15/05/2026 13:34; ; ;26/05/2026 00:00;26/05/2027 00:00;Setorizada;Vigente;6192904;EQUIPAMENTOS E ARTIGOS DE USO MEDICO, O.;MATERIAIS DE USO TECNICO HOSPITALAR COM.;LUVA CIRURGICA NUMERACAO 7,0, PUNHO DE  4 A 6 CM;MEDIX;MEDIX;1.200,00;0,00;44,44;3,370;1,380;5;
2026;67394;FOB    ;FOB    ;15/05/2026 13:34; ; ;26/05/2026 00:00;26/05/2027 00:00;Setorizada;Vigente;6192920;EQUIPAMENTOS E ARTIGOS DE USO MEDICO, O.;MATERIAIS DE USO TECNICO HOSPITALAR COM.;LUVA CIRURGICA NUMERACAO 7,5, PUNHO DE 4 A 6 CM;MEDIX;MEDIX;1.000,00;0,00;40,00;3,900;1,290;5;
2026;67394;FOB    ;FOB    ;15/05/2026 13:34; ; ;26/05/2026 00:00;26/05/2027 00:00;Setorizada;Vigente;6192939;EQUIPAMENTOS E ARTIGOS DE USO MEDICO, O.;MATERIAIS DE USO TECNICO HOSPITALAR COM.;LUVA CIRURGICA NUMERACAO 8,0, PUNHO DE 4 A 6 CM;MEDIX;MEDIX;500,00;300,00;25,00;3,100;1,290;5;
2026;67394;FOB    ;FOB    ;15/05/2026 13:34; ; ;26/05/2026 00:00;26/05/2027 00:00;Setorizada;Vigente;8395535;EQUIPAMENTOS E ARTIGOS DE USO MEDICO, O.;MATERIAIS DE USO TECNICO HOSPITALAR COM.;COMPRESSA DE GAZE HIDROFILA,13 FIOS,7,5X7,5CM,NAO ESTERIL,PACOTE C/500;COTTON MAX;COTTON MAX;500,00;0,00;100,00;23,240;31,100;5;
2026;67394;FOB    ;FOB    ;15/05/2026 13:34; ; ;26/05/2026 00:00;26/05/2027 00:00;Setorizada;Vigente;8402558;EQUIPAMENTOS E ARTIGOS DE USO MEDICO, O.;MATERIAIS DE USO TECNICO HOSPITALAR COM.;COMPRESSA GAZE,13FIOS,7,5X7,5CM,ESTERIL,C/10UN.,P.G.C;ERIMAX MED;ERIMAX MED;8.000,00;0,00;100,00;1,500;0,910;5;
2026;67394;FOB    ;FOB    ;15/05/2026 13:34; ; ;26/05/2026 00:00;26/05/2027 00:00;Setorizada;Vigente;9652817;EQUIPAMENTOS E ARTIGOS DE USO MEDICO, O.;COMPONENTES PARA EQUIPAMENTOS MEDICO HO.;ELETRODO AG-AGCL INFANTIL, MONITOR NIVEL CONSCIENCIA, DIVERSAS MARCAS;MAXICOR;MAXICOR;100,00;90,00;100,00;42,250;17,820;5;
2026;67394;FOB    ;FOB    ;15/05/2026 13:34; ; ;26/05/2026 00:00;26/05/2027 00:00;Setorizada;Vigente;9704248;EQUIPAMENTOS E ARTIGOS DE USO MEDICO, O.;INSUMOS PARA EQUIPAMENTOS MEDICO HOSPIT.;ELETRODO DESCARTAVEL;MAXICOR;MAXICOR;7.500,00;2.500,00;100,00;0,800;0,324;5;
2026;67394;FOB    ;FOB    ;15/05/2026 13:34; ; ;26/05/2026 00:00;26/05/2027 00:00;Setorizada;Vigente;9707166;EQUIPAMENTOS E ARTIGOS DE USO MEDICO, O.;MATERIAIS DE USO TECNICO HOSPITALAR COM.;LUVA CIRURGICA EM LATEX NATURAL ISENTA DE PO NUMERACAO 6,0;MEDIX;MEDIX;500,00;500,00;25,00;2,630;1,290;5;
2025;156891;PUSP-B ;FOB    ;15/12/2025 14:32;09/02/2026 10:05;09/02/2026 10:07;25/05/2026 00:00;24/05/2027 00:00;Setorizada;Vigente;8675120;EQUIPAMENTOS PARA PURIFICACAO E FILTRAG.;EQUIPAMENTOS PARA PURIFICACAO DE AGUA;BEBEDOURO ELETRICO INDUSTRIAL,50L,ACO INOX 304;CANOVAS;RESIST 50;8,00;3,00;10,96;1866,400;1866,000;2;
